Description,Type
"尼康尊望3s,10x42","others"
"小米无线洗地机2","furniture"
"香辣萝卜，葱油饼，水煮蛋，白粥-08-15-12-38-06","food"
"wm(1450g)","fruit"
"汉堡鸡腿四件套，8-15-21-45-04","food"
"wm(1450g)","fruit"
"daily-necessities","daily"
"daily-necessities","daily"
"water","water"
"打车带傲娇女友","transportation"
"lunch(baozi)","food"
"被套+被子5斤","furniture"
"drinks","drinks"
"barbershop-vip","daily"
"bus","transportation"
"watermelon(1250g)（美团）","fruit"
"water","water"
"watermalon1250g（美团）","fruit"
"coupon(5rx6)","others"
"lunch","food"
"watermalon1250g（美团）","fruit"
"garbage-bag(x200)","daily"
"dinner","food"
"monster-energy-ultra","drinks"
"coca-cola-0-330ml","drinks"
"rio-strong-0","alcohol"
"icecream","snack"
"lunch","food"
"water","water"
"rio-strong-0","alcohol"
"dinner","food"
"water","water"
"apple-gift-card","others"
"unknown","others"
"water","water"
"mi-elect-kettle","daily"
"dinner","food"
"barbecue","food"
"clothes-rack(x30)","daily"
"fried-chicken","food"
"rio-strong-0","alcohol"
"reward-points","alcohol"
"hxegt","alcohol"
"hxegt","alcohol"
"coupon(5rx12)","others"
"watermalonx1250g（美团）","fruit"
"rio-strong-0","alcohol"
"rio-strong-0","alcohol"
"rio-strong-0","alcohol"
"rio-strong-0","alcohol"
"bus","transportation"
"late-night-snack","food"
"lunch(congee)","food"
"screen-protector(蓝猩)","electronic"
"netease_music_vip","entertainment"
"watermalonx1250g（美团）","fruit"
"rent","daily"
"water-bill","daily"
"rental-breach-penalty","daily"
"bus","transportation"
"rio-strong-0","alcohol"
"prodraft","productivity"
"bus","transportation"
"elecbill","daily"
"gasbill","daily"
"rio-strong-0","alcohol"
"lunch(congee)","food"
"dinner","food"
"lunch(congee)","food"
"dinner","food"
"riostrong0","alcohol"
"late-night-snack","food"
"riostrong0","alcohol"
"shampoo","daily"
"phone-bill","daily"
"riostrong0","alcohol"
"riostrong0","alcohol"
"riostrong0","alcohol"
"rewordpoints","others"
"uu_annual_vip","entertainment"
"riostrong0","alcohol"
"lunch(congee)","food"
"dinner","food"
"late-night-snack","food"
"monster","drinks"
"coca(can)","drinks"
"lunch(congee)","food"
"ice","snack"
"ice","snack"
"hxegt","alcohol"
"metro","transportation"
"monster","drinks"
